,CO2,RCP26,RCP45,RCP60,RCP85
622,277.91,na,na,na,na
623,277.93,na,na,na,na
624,277.956,na,na,na,na
625,277.973,na,na,na,na
626,277.982,na,na,na,na
627,278.009,na,na,na,na
628,278.028,na,na,na,na
629,278.05,na,na,na,na
630,278.071,na,na,na,na
631,278.089,na,na,na,na
632,278.106,na,na,na,na
633,278.119,na,na,na,na
634,278.145,na,na,na,na
635,278.16,na,na,na,na
636,278.171,na,na,na,na
637,278.185,na,na,na,na
638,278.189,na,na,na,na
639,278.204,na,na,na,na
640,278.222,na,na,na,na
641,278.237,na,na,na,na
642,278.253,na,na,na,na
643,278.266,na,na,na,na
644,278.281,na,na,na,na
645,278.295,na,na,na,na
646,278.307,na,na,na,na
647,278.318,na,na,na,na
648,278.333,na,na,na,na
649,278.351,na,na,na,na
650,278.362,na,na,na,na
651,278.383,na,na,na,na
652,278.392,na,na,na,na
653,278.403,na,na,na,na
654,278.414,na,na,na,na
655,278.427,na,na,na,na
656,278.437,na,na,na,na
657,278.446,na,na,na,na
658,278.456,na,na,na,na
659,278.462,na,na,na,na
660,278.479,na,na,na,na
661,278.49,na,na,na,na
662,278.501,na,na,na,na
663,278.509,na,na,na,na
664,278.525,na,na,na,na
665,278.528,na,na,na,na
666,278.539000000001,na,na,na,na
667,278.556,na,na,na,na
668,278.571000000001,na,na,na,na
669,278.581000000001,na,na,na,na
670,278.589,na,na,na,na
671,278.595,na,na,na,na
672,278.600999999999,na,na,na,na
673,278.607999999999,na,na,na,na
674,278.626,na,na,na,na
675,278.637,na,na,na,na
676,278.64,na,na,na,na
677,278.649,na,na,na,na
678,278.66,na,na,na,na
679,278.665,na,na,na,na
680,278.674000000001,na,na,na,na
681,278.683,na,na,na,na
682,278.689,na,na,na,na
683,278.697,na,na,na,na
684,278.716,na,na,na,na
685,278.726000000001,na,na,na,na
686,278.735000000001,na,na,na,na
687,278.741,na,na,na,na
688,278.755,na,na,na,na
689,278.769000000001,na,na,na,na
690,278.781,na,na,na,na
691,278.799,na,na,na,na
692,278.799,na,na,na,na
693,278.81,na,na,na,na
694,278.814,na,na,na,na
695,278.824,na,na,na,na
696,278.828,na,na,na,na
697,278.832,na,na,na,na
698,278.84,na,na,na,na
699,278.850000000001,na,na,na,na
700,278.861,na,na,na,na
701,278.873999999999,na,na,na,na
702,278.882,na,na,na,na
703,278.889999999999,na,na,na,na
704,278.901,na,na,na,na
705,278.903000000002,na,na,na,na
706,278.91,na,na,na,na
707,278.92,na,na,na,na
708,278.926999999999,na,na,na,na
709,278.935999999999,na,na,na,na
710,278.952000000004,na,na,na,na
711,278.958000000002,na,na,na,na
712,278.96299999998,na,na,na,na
713,278.973999999999,na,na,na,na
714,278.982,na,na,na,na
715,278.989,na,na,na,na
716,278.998,na,na,na,na
717,279.004,na,na,na,na
718,279.009,na,na,na,na
719,279.014,na,na,na,na
720,279.025,na,na,na,na
721,279.03,na,na,na,na
722,279.036,na,na,na,na
723,279.041,na,na,na,na
724,279.049,na,na,na,na
725,279.051,na,na,na,na
726,279.055,na,na,na,na
727,279.063,na,na,na,na
728,279.07,na,na,na,na
729,279.073,na,na,na,na
730,279.081,na,na,na,na
731,279.088,na,na,na,na
732,279.098,na,na,na,na
733,279.108,na,na,na,na
734,279.115,na,na,na,na
735,279.115,na,na,na,na
736,279.122,na,na,na,na
737,279.121,na,na,na,na
738,279.127,na,na,na,na
739,279.131,na,na,na,na
740,279.137,na,na,na,na
741,279.142,na,na,na,na
742,279.146,na,na,na,na
743,279.154,na,na,na,na
744,279.161,na,na,na,na
745,279.172,na,na,na,na
746,279.178,na,na,na,na
747,279.193,na,na,na,na
748,279.203,na,na,na,na
749,279.207,na,na,na,na
750,279.213,na,na,na,na
751,279.214,na,na,na,na
752,279.227,na,na,na,na
753,279.231,na,na,na,na
754,279.234,na,na,na,na
755,279.247,na,na,na,na
756,279.258,na,na,na,na
757,279.268,na,na,na,na
758,279.273,na,na,na,na
759,279.278,na,na,na,na
760,279.288,na,na,na,na
761,279.294,na,na,na,na
762,279.296,na,na,na,na
763,279.301,na,na,na,na
764,279.303,na,na,na,na
765,279.306,na,na,na,na
766,279.311,na,na,na,na
767,279.313,na,na,na,na
768,279.32,na,na,na,na
769,279.322,na,na,na,na
770,279.324,na,na,na,na
771,279.328,na,na,na,na
772,279.327,na,na,na,na
773,279.326,na,na,na,na
774,279.324,na,na,na,na
775,279.327,na,na,na,na
776,279.333,na,na,na,na
777,279.345,na,na,na,na
778,279.349,na,na,na,na
779,279.347,na,na,na,na
780,279.343,na,na,na,na
781,279.341,na,na,na,na
782,279.342,na,na,na,na
783,279.338,na,na,na,na
784,279.341,na,na,na,na
785,279.337,na,na,na,na
786,279.335,na,na,na,na
787,279.328,na,na,na,na
788,279.326,na,na,na,na
789,279.316,na,na,na,na
790,279.316,na,na,na,na
791,279.311,na,na,na,na
792,279.308,na,na,na,na
793,279.295,na,na,na,na
794,279.294,na,na,na,na
795,279.294,na,na,na,na
796,279.288,na,na,na,na
797,279.282,na,na,na,na
798,279.277,na,na,na,na
799,279.28,na,na,na,na
800,279.274,na,na,na,na
801,279.272,na,na,na,na
802,279.273,na,na,na,na
803,279.273,na,na,na,na
804,279.276,na,na,na,na
805,279.281,na,na,na,na
806,279.283,na,na,na,na
807,279.285,na,na,na,na
808,279.293,na,na,na,na
809,279.295,na,na,na,na
810,279.298,na,na,na,na
811,279.302,na,na,na,na
812,279.303,na,na,na,na
813,279.305,na,na,na,na
814,279.307,na,na,na,na
815,279.311,na,na,na,na
816,279.313,na,na,na,na
817,279.315,na,na,na,na
818,279.32,na,na,na,na
819,279.319,na,na,na,na
820,279.324,na,na,na,na
821,279.325,na,na,na,na
822,279.326,na,na,na,na
823,279.326,na,na,na,na
824,279.323,na,na,na,na
825,279.323,na,na,na,na
826,279.321,na,na,na,na
827,279.322,na,na,na,na
828,279.323,na,na,na,na
829,279.326,na,na,na,na
830,279.326,na,na,na,na
831,279.326,na,na,na,na
832,279.324,na,na,na,na
833,279.329,na,na,na,na
834,279.324,na,na,na,na
835,279.325,na,na,na,na
836,279.323,na,na,na,na
837,279.327,na,na,na,na
838,279.329,na,na,na,na
839,279.334,na,na,na,na
